threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.05,0.6791,0.4354,0.9552,0.5981,64,118,83,3
0.06,0.7052,0.4559,0.9254,0.6108,62,127,74,5
0.07,0.7201,0.4697,0.9254,0.6231,62,131,70,5
0.08,0.7313,0.4806,0.9254,0.6327,62,134,67,5
0.09,0.7388,0.4882,0.9254,0.6392,62,136,65,5
0.1,0.75,0.5,0.9254,0.6492,62,139,62,5
0.11,0.7463,0.4959,0.9104,0.6421,61,139,62,6
0.12,0.7463,0.4958,0.8806,0.6344,59,141,60,8
0.13,0.7463,0.4958,0.8806,0.6344,59,141,60,8
0.14,0.75,0.5,0.8806,0.6378,59,142,59,8
0.15,0.7612,0.513,0.8806,0.6484,59,145,56,8
0.16,0.7687,0.5225,0.8657,0.6517,58,148,53,9
0.17,0.7799,0.537,0.8657,0.6629,58,151,50,9
0.18,0.7948,0.5577,0.8657,0.6784,58,155,46,9
0.19,0.7985,0.5631,0.8657,0.6824,58,156,45,9
0.2,0.7985,0.5631,0.8657,0.6824,58,156,45,9
0.21,0.7985,0.5631,0.8657,0.6824,58,156,45,9
0.22,0.7985,0.5631,0.8657,0.6824,58,156,45,9
0.23,0.8022,0.5686,0.8657,0.6864,58,157,44,9
0.24,0.8172,0.5918,0.8657,0.703,58,161,40,9
0.25,0.8209,0.5979,0.8657,0.7073,58,162,39,9
0.26,0.8246,0.6042,0.8657,0.7117,58,163,38,9
0.27,0.8396,0.6304,0.8657,0.7296,58,167,34,9
0.28,0.8433,0.6374,0.8657,0.7342,58,168,33,9
0.29,0.8433,0.6374,0.8657,0.7342,58,168,33,9
0.3,0.8396,0.6333,0.8507,0.7261,57,168,33,10
0.31,0.8396,0.6333,0.8507,0.7261,57,168,33,10
0.32,0.8396,0.6333,0.8507,0.7261,57,168,33,10
0.33,0.8396,0.6333,0.8507,0.7261,57,168,33,10
0.34,0.8396,0.6333,0.8507,0.7261,57,168,33,10
0.35,0.8433,0.6404,0.8507,0.7308,57,169,32,10
0.36,0.847,0.6477,0.8507,0.7355,57,170,31,10
0.37,0.847,0.6512,0.8358,0.732,56,171,30,11
0.38,0.8507,0.6588,0.8358,0.7368,56,172,29,11
0.39,0.8507,0.6627,0.8209,0.7333,55,173,28,12
0.4,0.8507,0.6627,0.8209,0.7333,55,173,28,12
0.41,0.8507,0.6627,0.8209,0.7333,55,173,28,12
0.42,0.8507,0.6627,0.8209,0.7333,55,173,28,12
0.43,0.8545,0.6707,0.8209,0.7383,55,174,27,12
0.44,0.8545,0.6707,0.8209,0.7383,55,174,27,12
0.45,0.8545,0.6707,0.8209,0.7383,55,174,27,12
0.46,0.8545,0.6707,0.8209,0.7383,55,174,27,12
0.47,0.8545,0.6707,0.8209,0.7383,55,174,27,12
0.48,0.8545,0.6707,0.8209,0.7383,55,174,27,12
0.49,0.8545,0.6707,0.8209,0.7383,55,174,27,12
0.5,0.8582,0.679,0.8209,0.7432,55,175,26,12
0.51,0.8657,0.6962,0.8209,0.7534,55,177,24,12
0.52,0.8657,0.6962,0.8209,0.7534,55,177,24,12
0.53,0.8657,0.6962,0.8209,0.7534,55,177,24,12
0.54,0.8619,0.6923,0.806,0.7448,54,177,24,13
0.55,0.8657,0.7013,0.806,0.75,54,178,23,13
0.56,0.8657,0.7013,0.806,0.75,54,178,23,13
0.57,0.8657,0.7013,0.806,0.75,54,178,23,13
0.58,0.8657,0.7013,0.806,0.75,54,178,23,13
0.59,0.8657,0.7067,0.791,0.7465,53,179,22,14
0.6,0.8657,0.7067,0.791,0.7465,53,179,22,14
0.61,0.8657,0.7067,0.791,0.7465,53,179,22,14
0.62,0.8657,0.7067,0.791,0.7465,53,179,22,14
0.63,0.8619,0.7027,0.7761,0.7376,52,179,22,15
0.64,0.8731,0.7324,0.7761,0.7536,52,182,19,15
0.65,0.8731,0.7324,0.7761,0.7536,52,182,19,15
0.66,0.8731,0.7324,0.7761,0.7536,52,182,19,15
0.67,0.8769,0.75,0.7612,0.7556,51,184,17,16
0.68,0.8769,0.75,0.7612,0.7556,51,184,17,16
0.69,0.8769,0.75,0.7612,0.7556,51,184,17,16
0.7,0.8769,0.75,0.7612,0.7556,51,184,17,16
0.71,0.8694,0.7424,0.7313,0.7368,49,184,17,18
0.72,0.8657,0.7385,0.7164,0.7273,48,184,17,19
0.73,0.8657,0.7385,0.7164,0.7273,48,184,17,19
0.74,0.8657,0.7385,0.7164,0.7273,48,184,17,19
0.75,0.8657,0.746,0.7015,0.7231,47,185,16,20
0.76,0.8582,0.7377,0.6716,0.7031,45,185,16,22
0.77,0.8582,0.7458,0.6567,0.6984,44,186,15,23
0.78,0.8582,0.7458,0.6567,0.6984,44,186,15,23
0.79,0.8545,0.7414,0.6418,0.688,43,186,15,24
0.8,0.8582,0.7544,0.6418,0.6935,43,187,14,24
0.81,0.8545,0.7593,0.6119,0.6777,41,188,13,26
0.82,0.8582,0.7843,0.597,0.678,40,190,11,27
0.83,0.8545,0.7917,0.5672,0.6609,38,191,10,29
0.84,0.8545,0.7917,0.5672,0.6609,38,191,10,29
0.85,0.8507,0.7872,0.5522,0.6491,37,191,10,30
0.86,0.8545,0.8043,0.5522,0.6549,37,192,9,30
0.87,0.8507,0.814,0.5224,0.6364,35,193,8,32
0.88,0.8582,0.8537,0.5224,0.6481,35,195,6,32
0.89,0.8582,0.8537,0.5224,0.6481,35,195,6,32
0.9,0.8545,0.85,0.5075,0.6355,34,195,6,33
0.91,0.8433,0.8378,0.4627,0.5962,31,195,6,36
0.92,0.8433,0.8571,0.4478,0.5882,30,196,5,37
0.93,0.8433,0.9032,0.4179,0.5714,28,198,3,39
0.94,0.847,0.9333,0.4179,0.5773,28,199,2,39
0.95,0.8321,0.9231,0.3582,0.5161,24,199,2,43
