threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.05,0.8396,0.6463,0.791,0.7114,53,172,29,14
0.06,0.8507,0.6709,0.791,0.726,53,175,26,14
0.07,0.8507,0.6709,0.791,0.726,53,175,26,14
0.08,0.8545,0.6842,0.7761,0.7273,52,177,24,15
0.09,0.8582,0.6986,0.7612,0.7286,51,179,22,16
0.1,0.8582,0.6986,0.7612,0.7286,51,179,22,16
0.11,0.8619,0.7083,0.7612,0.7338,51,180,21,16
0.12,0.8657,0.7183,0.7612,0.7391,51,181,20,16
0.13,0.8694,0.7286,0.7612,0.7445,51,182,19,16
0.14,0.8694,0.7286,0.7612,0.7445,51,182,19,16
0.15,0.8694,0.7286,0.7612,0.7445,51,182,19,16
0.16,0.8657,0.7246,0.7463,0.7353,50,182,19,17
0.17,0.8694,0.7353,0.7463,0.7407,50,183,18,17
0.18,0.8694,0.7353,0.7463,0.7407,50,183,18,17
0.19,0.8694,0.7353,0.7463,0.7407,50,183,18,17
0.2,0.8694,0.7353,0.7463,0.7407,50,183,18,17
0.21,0.8657,0.7313,0.7313,0.7313,49,183,18,18
0.22,0.8657,0.7313,0.7313,0.7313,49,183,18,18
0.23,0.8657,0.7313,0.7313,0.7313,49,183,18,18
0.24,0.8657,0.7313,0.7313,0.7313,49,183,18,18
0.25,0.8657,0.7313,0.7313,0.7313,49,183,18,18
0.26,0.8657,0.7313,0.7313,0.7313,49,183,18,18
0.27,0.8657,0.7313,0.7313,0.7313,49,183,18,18
0.28,0.8657,0.7313,0.7313,0.7313,49,183,18,18
0.29,0.8657,0.7313,0.7313,0.7313,49,183,18,18
0.3,0.8657,0.7313,0.7313,0.7313,49,183,18,18
0.31,0.8657,0.7313,0.7313,0.7313,49,183,18,18
0.32,0.8694,0.7424,0.7313,0.7368,49,184,17,18
0.33,0.8694,0.7424,0.7313,0.7368,49,184,17,18
0.34,0.8731,0.7538,0.7313,0.7424,49,185,16,18
0.35,0.8731,0.7538,0.7313,0.7424,49,185,16,18
0.36,0.8731,0.7538,0.7313,0.7424,49,185,16,18
0.37,0.8731,0.7538,0.7313,0.7424,49,185,16,18
0.38,0.8731,0.7538,0.7313,0.7424,49,185,16,18
0.39,0.8731,0.7538,0.7313,0.7424,49,185,16,18
0.4,0.8769,0.7656,0.7313,0.7481,49,186,15,18
0.41,0.8769,0.7656,0.7313,0.7481,49,186,15,18
0.42,0.8806,0.7778,0.7313,0.7538,49,187,14,18
0.43,0.8806,0.7778,0.7313,0.7538,49,187,14,18
0.44,0.8806,0.7778,0.7313,0.7538,49,187,14,18
0.45,0.8843,0.7903,0.7313,0.7597,49,188,13,18
0.46,0.8843,0.7903,0.7313,0.7597,49,188,13,18
0.47,0.8843,0.7903,0.7313,0.7597,49,188,13,18
0.48,0.8843,0.7903,0.7313,0.7597,49,188,13,18
0.49,0.8843,0.7903,0.7313,0.7597,49,188,13,18
0.5,0.8881,0.8033,0.7313,0.7656,49,189,12,18
0.51,0.8881,0.8033,0.7313,0.7656,49,189,12,18
0.52,0.8881,0.8033,0.7313,0.7656,49,189,12,18
0.53,0.8843,0.8,0.7164,0.7559,48,189,12,19
0.54,0.8843,0.8,0.7164,0.7559,48,189,12,19
0.55,0.8843,0.8,0.7164,0.7559,48,189,12,19
0.56,0.8843,0.8,0.7164,0.7559,48,189,12,19
0.57,0.8843,0.8,0.7164,0.7559,48,189,12,19
0.58,0.8843,0.8,0.7164,0.7559,48,189,12,19
0.59,0.8843,0.8,0.7164,0.7559,48,189,12,19
0.6,0.8843,0.8,0.7164,0.7559,48,189,12,19
0.61,0.8843,0.8,0.7164,0.7559,48,189,12,19
0.62,0.8843,0.8,0.7164,0.7559,48,189,12,19
0.63,0.8843,0.8,0.7164,0.7559,48,189,12,19
0.64,0.8843,0.8,0.7164,0.7559,48,189,12,19
0.65,0.8843,0.8,0.7164,0.7559,48,189,12,19
0.66,0.8806,0.807,0.6866,0.7419,46,190,11,21
0.67,0.8806,0.807,0.6866,0.7419,46,190,11,21
0.68,0.8806,0.807,0.6866,0.7419,46,190,11,21
0.69,0.8806,0.807,0.6866,0.7419,46,190,11,21
0.7,0.8806,0.807,0.6866,0.7419,46,190,11,21
0.71,0.8806,0.807,0.6866,0.7419,46,190,11,21
0.72,0.8806,0.807,0.6866,0.7419,46,190,11,21
0.73,0.8731,0.8,0.6567,0.7213,44,190,11,23
0.74,0.8731,0.8,0.6567,0.7213,44,190,11,23
0.75,0.8731,0.8,0.6567,0.7213,44,190,11,23
0.76,0.8731,0.8,0.6567,0.7213,44,190,11,23
0.77,0.8731,0.8,0.6567,0.7213,44,190,11,23
0.78,0.8694,0.7963,0.6418,0.7107,43,190,11,24
0.79,0.8694,0.7963,0.6418,0.7107,43,190,11,24
0.8,0.8657,0.7925,0.6269,0.7,42,190,11,25
0.81,0.8657,0.7925,0.6269,0.7,42,190,11,25
0.82,0.8657,0.7925,0.6269,0.7,42,190,11,25
0.83,0.8619,0.7885,0.6119,0.6891,41,190,11,26
0.84,0.8582,0.7843,0.597,0.678,40,190,11,27
0.85,0.8582,0.7843,0.597,0.678,40,190,11,27
0.86,0.8582,0.7843,0.597,0.678,40,190,11,27
0.87,0.8582,0.7843,0.597,0.678,40,190,11,27
0.88,0.8582,0.7959,0.5821,0.6724,39,191,10,28
0.89,0.8582,0.7959,0.5821,0.6724,39,191,10,28
0.9,0.8619,0.8125,0.5821,0.6783,39,192,9,28
0.91,0.8619,0.8125,0.5821,0.6783,39,192,9,28
0.92,0.8619,0.8125,0.5821,0.6783,39,192,9,28
0.93,0.8545,0.8043,0.5522,0.6549,37,192,9,30
0.94,0.8545,0.8182,0.5373,0.6486,36,193,8,31
0.95,0.8507,0.814,0.5224,0.6364,35,193,8,32
