threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.05,0.8022,0.5686,0.8657,0.6864,58,157,44,9
0.06,0.806,0.5758,0.8507,0.6867,57,159,42,10
0.07,0.8134,0.5876,0.8507,0.6951,57,161,40,10
0.08,0.8284,0.6129,0.8507,0.7125,57,165,36,10
0.09,0.8358,0.6264,0.8507,0.7215,57,167,34,10
0.1,0.8396,0.6395,0.8209,0.719,55,170,31,12
0.11,0.8396,0.6429,0.806,0.7152,54,171,30,13
0.12,0.8433,0.6543,0.791,0.7162,53,173,28,14
0.13,0.847,0.6625,0.791,0.7211,53,174,27,14
0.14,0.847,0.6625,0.791,0.7211,53,174,27,14
0.15,0.847,0.6667,0.7761,0.7172,52,175,26,15
0.16,0.8507,0.6753,0.7761,0.7222,52,176,25,15
0.17,0.8545,0.6842,0.7761,0.7273,52,177,24,15
0.18,0.8619,0.7027,0.7761,0.7376,52,179,22,15
0.19,0.8582,0.6986,0.7612,0.7286,51,179,22,16
0.2,0.8582,0.6986,0.7612,0.7286,51,179,22,16
0.21,0.8582,0.6986,0.7612,0.7286,51,179,22,16
0.22,0.8582,0.7042,0.7463,0.7246,50,180,21,17
0.23,0.8619,0.7206,0.7313,0.7259,49,182,19,18
0.24,0.8657,0.7313,0.7313,0.7313,49,183,18,18
0.25,0.8657,0.7313,0.7313,0.7313,49,183,18,18
0.26,0.8657,0.7313,0.7313,0.7313,49,183,18,18
0.27,0.8619,0.7273,0.7164,0.7218,48,183,18,19
0.28,0.8619,0.7273,0.7164,0.7218,48,183,18,19
0.29,0.8657,0.7385,0.7164,0.7273,48,184,17,19
0.3,0.8694,0.75,0.7164,0.7328,48,185,16,19
0.31,0.8657,0.746,0.7015,0.7231,47,185,16,20
0.32,0.8657,0.746,0.7015,0.7231,47,185,16,20
0.33,0.8657,0.746,0.7015,0.7231,47,185,16,20
0.34,0.8619,0.7419,0.6866,0.7132,46,185,16,21
0.35,0.8657,0.7541,0.6866,0.7188,46,186,15,21
0.36,0.8657,0.7541,0.6866,0.7188,46,186,15,21
