threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.05,0.8955,0.7468,0.8806,0.8082,59,181,20,8
0.06,0.8918,0.7436,0.8657,0.8,58,181,20,9
0.07,0.8918,0.7436,0.8657,0.8,58,181,20,9
0.08,0.8881,0.7403,0.8507,0.7917,57,181,20,10
0.09,0.8881,0.7403,0.8507,0.7917,57,181,20,10
0.1,0.8881,0.7403,0.8507,0.7917,57,181,20,10
0.11,0.8881,0.7403,0.8507,0.7917,57,181,20,10
0.12,0.8881,0.7403,0.8507,0.7917,57,181,20,10
0.13,0.8881,0.7403,0.8507,0.7917,57,181,20,10
0.14,0.8881,0.7403,0.8507,0.7917,57,181,20,10
0.15,0.8881,0.7403,0.8507,0.7917,57,181,20,10
0.16,0.8881,0.7403,0.8507,0.7917,57,181,20,10
0.17,0.8881,0.7403,0.8507,0.7917,57,181,20,10
0.18,0.8881,0.7403,0.8507,0.7917,57,181,20,10
0.19,0.8881,0.7403,0.8507,0.7917,57,181,20,10
0.2,0.8881,0.7403,0.8507,0.7917,57,181,20,10
0.21,0.8918,0.75,0.8507,0.7972,57,182,19,10
0.22,0.8918,0.75,0.8507,0.7972,57,182,19,10
0.23,0.8918,0.75,0.8507,0.7972,57,182,19,10
0.24,0.8918,0.75,0.8507,0.7972,57,182,19,10
0.25,0.8918,0.75,0.8507,0.7972,57,182,19,10
0.26,0.8918,0.75,0.8507,0.7972,57,182,19,10
0.27,0.8918,0.75,0.8507,0.7972,57,182,19,10
0.28,0.8918,0.75,0.8507,0.7972,57,182,19,10
0.29,0.8918,0.75,0.8507,0.7972,57,182,19,10
0.3,0.8918,0.75,0.8507,0.7972,57,182,19,10
0.31,0.8918,0.75,0.8507,0.7972,57,182,19,10
0.32,0.8918,0.75,0.8507,0.7972,57,182,19,10
0.33,0.8881,0.7467,0.8358,0.7887,56,182,19,11
0.34,0.8881,0.7467,0.8358,0.7887,56,182,19,11
0.35,0.8881,0.7467,0.8358,0.7887,56,182,19,11
0.36,0.8881,0.7467,0.8358,0.7887,56,182,19,11
0.37,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.38,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.39,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.4,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.41,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.42,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.43,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.44,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.45,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.46,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.47,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.48,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.49,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.5,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.51,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.52,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.53,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.54,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.55,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.56,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.57,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.58,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.59,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.6,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.61,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.62,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.63,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.64,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.65,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.66,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.67,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.68,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.69,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.7,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.71,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.72,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.73,0.8955,0.7671,0.8358,0.8,56,184,17,11
0.74,0.8955,0.7671,0.8358,0.8,56,184,17,11
0.75,0.8955,0.7671,0.8358,0.8,56,184,17,11
0.76,0.8955,0.7671,0.8358,0.8,56,184,17,11
0.77,0.8955,0.7671,0.8358,0.8,56,184,17,11
0.78,0.8955,0.7671,0.8358,0.8,56,184,17,11
0.79,0.8955,0.7671,0.8358,0.8,56,184,17,11
0.8,0.8993,0.7778,0.8358,0.8058,56,185,16,11
0.81,0.8993,0.7778,0.8358,0.8058,56,185,16,11
0.82,0.8993,0.7778,0.8358,0.8058,56,185,16,11
0.83,0.8993,0.7778,0.8358,0.8058,56,185,16,11
0.84,0.8993,0.7778,0.8358,0.8058,56,185,16,11
0.85,0.8993,0.7778,0.8358,0.8058,56,185,16,11
0.86,0.8993,0.7778,0.8358,0.8058,56,185,16,11
0.87,0.8993,0.7778,0.8358,0.8058,56,185,16,11
0.88,0.8993,0.7778,0.8358,0.8058,56,185,16,11
0.89,0.8993,0.7778,0.8358,0.8058,56,185,16,11
0.9,0.8993,0.7778,0.8358,0.8058,56,185,16,11
0.91,0.8993,0.7778,0.8358,0.8058,56,185,16,11
0.92,0.8993,0.7778,0.8358,0.8058,56,185,16,11
0.93,0.8993,0.7778,0.8358,0.8058,56,185,16,11
0.94,0.903,0.7887,0.8358,0.8116,56,186,15,11
0.95,0.903,0.7887,0.8358,0.8116,56,186,15,11
