threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.05,0.7873,0.5424,0.9552,0.6919,64,147,54,3
0.06,0.7948,0.5526,0.9403,0.6961,63,150,51,4
0.07,0.7985,0.5575,0.9403,0.7,63,151,50,4
0.08,0.806,0.5676,0.9403,0.7079,63,153,48,4
0.09,0.8097,0.5727,0.9403,0.7119,63,154,47,4
0.1,0.806,0.5688,0.9254,0.7045,62,154,47,5
0.11,0.8134,0.5794,0.9254,0.7126,62,156,45,5
0.12,0.8134,0.5794,0.9254,0.7126,62,156,45,5
0.13,0.8172,0.5849,0.9254,0.7168,62,157,44,5
0.14,0.8246,0.5962,0.9254,0.7251,62,159,42,5
0.15,0.8321,0.6078,0.9254,0.7337,62,161,40,5
0.16,0.8358,0.6139,0.9254,0.7381,62,162,39,5
0.17,0.8321,0.61,0.9104,0.7305,61,162,39,6
0.18,0.8321,0.6122,0.8955,0.7273,60,163,38,7
0.19,0.8321,0.6122,0.8955,0.7273,60,163,38,7
0.2,0.8321,0.6122,0.8955,0.7273,60,163,38,7
0.21,0.8433,0.6316,0.8955,0.7407,60,166,35,7
0.22,0.8433,0.6316,0.8955,0.7407,60,166,35,7
0.23,0.8507,0.6452,0.8955,0.75,60,168,33,7
0.24,0.8507,0.6452,0.8955,0.75,60,168,33,7
0.25,0.8507,0.6452,0.8955,0.75,60,168,33,7
0.26,0.8507,0.6452,0.8955,0.75,60,168,33,7
0.27,0.8507,0.6452,0.8955,0.75,60,168,33,7
0.28,0.8507,0.6452,0.8955,0.75,60,168,33,7
0.29,0.8507,0.6452,0.8955,0.75,60,168,33,7
0.3,0.8507,0.6452,0.8955,0.75,60,168,33,7
0.31,0.8507,0.6452,0.8955,0.75,60,168,33,7
0.32,0.8582,0.6593,0.8955,0.7595,60,170,31,7
0.33,0.8582,0.6593,0.8955,0.7595,60,170,31,7
0.34,0.8582,0.6593,0.8955,0.7595,60,170,31,7
0.35,0.8582,0.6593,0.8955,0.7595,60,170,31,7
0.36,0.8582,0.6593,0.8955,0.7595,60,170,31,7
0.37,0.8619,0.6667,0.8955,0.7643,60,171,30,7
0.38,0.8619,0.6667,0.8955,0.7643,60,171,30,7
0.39,0.8619,0.6667,0.8955,0.7643,60,171,30,7
0.4,0.8657,0.6742,0.8955,0.7692,60,172,29,7
0.41,0.8657,0.6742,0.8955,0.7692,60,172,29,7
0.42,0.8657,0.6742,0.8955,0.7692,60,172,29,7
0.43,0.8694,0.6818,0.8955,0.7742,60,173,28,7
0.44,0.8657,0.6782,0.8806,0.7662,59,173,28,8
0.45,0.8657,0.6782,0.8806,0.7662,59,173,28,8
0.46,0.8657,0.6782,0.8806,0.7662,59,173,28,8
0.47,0.8694,0.686,0.8806,0.7712,59,174,27,8
0.48,0.8731,0.6941,0.8806,0.7763,59,175,26,8
0.49,0.8769,0.7024,0.8806,0.7815,59,176,25,8
0.5,0.8769,0.7024,0.8806,0.7815,59,176,25,8
0.51,0.8769,0.7024,0.8806,0.7815,59,176,25,8
0.52,0.8769,0.7024,0.8806,0.7815,59,176,25,8
0.53,0.8769,0.7024,0.8806,0.7815,59,176,25,8
0.54,0.8769,0.7024,0.8806,0.7815,59,176,25,8
0.55,0.8731,0.6988,0.8657,0.7733,58,176,25,9
0.56,0.8731,0.6988,0.8657,0.7733,58,176,25,9
0.57,0.8731,0.6988,0.8657,0.7733,58,176,25,9
0.58,0.8731,0.6988,0.8657,0.7733,58,176,25,9
0.59,0.8731,0.6988,0.8657,0.7733,58,176,25,9
0.6,0.8731,0.6988,0.8657,0.7733,58,176,25,9
0.61,0.8731,0.6988,0.8657,0.7733,58,176,25,9
0.62,0.8769,0.7073,0.8657,0.7785,58,177,24,9
0.63,0.8731,0.7037,0.8507,0.7703,57,177,24,10
0.64,0.8731,0.7037,0.8507,0.7703,57,177,24,10
0.65,0.8731,0.7037,0.8507,0.7703,57,177,24,10
0.66,0.8731,0.7037,0.8507,0.7703,57,177,24,10
0.67,0.8731,0.7037,0.8507,0.7703,57,177,24,10
0.68,0.8769,0.7125,0.8507,0.7755,57,178,23,10
0.69,0.8769,0.7125,0.8507,0.7755,57,178,23,10
0.7,0.8769,0.7125,0.8507,0.7755,57,178,23,10
0.71,0.8769,0.7125,0.8507,0.7755,57,178,23,10
0.72,0.8769,0.7125,0.8507,0.7755,57,178,23,10
0.73,0.8769,0.7125,0.8507,0.7755,57,178,23,10
0.74,0.8769,0.7125,0.8507,0.7755,57,178,23,10
0.75,0.8769,0.7125,0.8507,0.7755,57,178,23,10
0.76,0.8806,0.7215,0.8507,0.7808,57,179,22,10
0.77,0.8806,0.7215,0.8507,0.7808,57,179,22,10
0.78,0.8806,0.7215,0.8507,0.7808,57,179,22,10
0.79,0.8806,0.7273,0.8358,0.7778,56,180,21,11
0.8,0.8843,0.7368,0.8358,0.7832,56,181,20,11
0.81,0.8843,0.7368,0.8358,0.7832,56,181,20,11
0.82,0.8881,0.7467,0.8358,0.7887,56,182,19,11
0.83,0.8881,0.7467,0.8358,0.7887,56,182,19,11
0.84,0.8881,0.7467,0.8358,0.7887,56,182,19,11
0.85,0.8918,0.7568,0.8358,0.7943,56,183,18,11
0.86,0.8843,0.75,0.806,0.777,54,183,18,13
0.87,0.8843,0.75,0.806,0.777,54,183,18,13
0.88,0.8843,0.75,0.806,0.777,54,183,18,13
0.89,0.8881,0.7606,0.806,0.7826,54,184,17,13
0.9,0.8881,0.7606,0.806,0.7826,54,184,17,13
0.91,0.8918,0.7714,0.806,0.7883,54,185,16,13
0.92,0.8843,0.7647,0.7761,0.7704,52,185,16,15
0.93,0.8769,0.7576,0.7463,0.7519,50,185,16,17
0.94,0.8806,0.7692,0.7463,0.7576,50,186,15,17
0.95,0.8806,0.7778,0.7313,0.7538,49,187,14,18
